""	"Accius"	"Ennius"	"Livius"	"Naevius"	"Pacuvius"
"fingo"	1	0	0	0	0
"filius"	0	1	0	0	1
"figura"	1	0	0	0	1
"figo"	0	1	0	0	0
"fidus"	1	1	0	0	0
"fides2"	2	2	0	0	1
"fidelitas"	1	0	0	0	0
"fictor"	1	0	0	0	0
"fetus1"	1	0	0	0	2
"ferus2"	1	0	0	1	0
"feruo"	1	0	0	0	1
"feruidus"	1	0	0	0	0
"ferueo"	1	0	0	1	0
"ferrum"	1	3	0	1	0
"ferox"	2	0	0	0	4
"ferocia"	1	0	0	0	1
"fere"	1	0	0	0	0
"fera"	2	0	0	1	2
"febris"	1	0	0	0	0
"fax"	0	2	0	0	0
"faustus"	1	0	0	0	1
"fauentia"	1	0	0	0	0
"fatum"	2	0	0	0	0
"fatiscor"	1	0	0	0	1
"fatigo"	0	0	0	0	1
"fateor"	1	0	0	0	0
"fas"	2	0	0	0	0
"fanum"	0	1	0	0	0
"famulitas"	1	0	0	0	1
"famulanter"	1	0	0	0	0
"familia"	0	1	0	0	1
"fames"	1	0	0	0	1
"fama"	3	2	0	1	2
"falsus"	0	1	0	0	2
"facultas"	1	0	0	0	0
"facul"	0	0	0	0	1
"factum"	0	0	0	1	0
"facio"	11	4	0	1	10
"facinus"	1	1	0	0	0
"facile"	3	2	0	0	1
"facies"	0	0	0	1	1
"facesso"	0	0	0	0	2
"fabricor"	1	0	0	0	0
"exuuiae"	3	0	0	0	0
"exuro"	1	0	0	0	1
"exubero"	1	0	0	0	0
"extus"	0	0	0	0	1
"exturbo2"	1	0	0	0	0
"extra2"	0	1	0	0	0
"extorris"	1	0	0	0	0
"extollo"	1	1	0	0	0
"extispicium"	1	0	0	0	0
"exter"	0	0	0	0	1
"extemplo"	0	0	0	0	1
"exsuscito1"	1	0	0	0	0
"exsulo"	1	0	0	0	0
"exsul"	1	0	0	0	1
"exstinguo"	2	0	0	0	1
"exspiro"	1	0	0	0	0
"exspes"	1	0	0	0	0
"exspecto"	2	2	0	0	2
"exsisto"	1	0	0	0	1
"exsilium"	2	2	0	0	2
"exsequor"	1	1	0	0	0
"exsecrabilis"	1	0	0	0	0
"exquiro"	0	0	0	0	1
"expugno"	1	0	0	0	0
"expromo"	1	0	0	0	0
"exposco"	0	1	0	0	0
"explico"	2	0	0	0	0
"expleo"	3	0	0	0	0
"explano"	0	0	0	0	1
"expeto"	2	1	0	0	1
"expers"	1	0	0	0	0
"expendo"	1	0	0	0	0
"expello"	1	0	0	0	1
"expedio"	0	0	0	0	3
"exortus"	0	0	0	0	1
"exorior"	1	1	0	0	2
"exordium"	0	1	0	0	0
"exoptus"	1	0	0	0	0
"exitium"	0	0	0	0	1
"exigo"	0	0	0	1	1
"exercitus1"	2	0	0	0	0
"exercitium"	2	0	0	0	0
"exerceo"	1	1	0	0	1
"exeo1"	1	0	0	0	0
"exemplum"	1	0	0	0	0
"excrucio"	0	1	0	0	1
"excito1"	1	0	0	0	0
"excio"	3	0	0	0	0
"excido1"	0	0	0	1	0
"excelsus"	1	0	0	0	0
"exaudio"	1	0	0	0	0
"exanimo"	0	2	0	0	0
"exanclo"	2	1	0	0	1
"exalbesco"	0	1	0	0	0
"ex"	21	4	0	2	11
"euolo2"	1	0	0	0	0
"euito"	1	1	0	0	0
"euiscero"	0	1	0	0	1
"euhio"	1	0	0	0	0
"euerto"	2	0	0	0	0
"euenio"	0	1	0	0	0
"euago"	1	0	0	0	0
"euado2"	1	0	0	0	0
"etsi2"	2	1	0	0	2
"etiam"	2	2	0	0	1
"et2"	54	20	1	1	26
"erumpo"	1	0	0	0	1
"error"	1	0	0	0	3
"erro2"	0	2	0	0	1
"erro1"	1	0	0	0	0
"erogito"	1	0	0	0	0
"eripio"	1	0	0	0	0
"erigo"	1	0	0	0	0
"ergo2"	1	0	0	0	0
"erga"	0	0	0	0	2
"equus"	1	1	0	0	0
"equinus"	1	0	0	0	0
"equidem"	1	0	0	0	0
"epulor"	1	0	0	0	0
"epulae"	1	0	0	0	0
"eodem"	0	0	0	0	1
"eo3"	0	0	0	1	0
"eo1"	6	2	0	1	4
"enodus"	0	0	0	0	1
"enodo"	1	0	0	0	0
"eniteo"	1	0	0	0	0
"enimuero"	1	0	0	0	0
"enim2"	1	1	0	0	0
"eloquor"	0	0	0	0	1
"elinguis"	0	0	0	0	1
"eliminor"	1	0	0	0	0
"elimino"	1	0	0	0	1
"elimina"	0	1	0	0	0
"eiulatus"	1	0	0	0	0
"eicio"	0	1	0	0	0
"ei"	1	0	0	0	0
"eheu"	0	1	0	0	0
"egregius"	1	0	0	0	2
"egredior"	2	0	0	0	0
"ego"	57	23	1	4	41
"egestas"	0	1	0	0	2
"egens"	0	1	0	0	0
"effor"	0	0	0	0	1
"effero2"	2	2	0	0	0
"effectus1"	0	0	0	0	1
"educo2"	2	1	0	0	0
"edo2"	1	0	0	0	0
"edico2"	1	0	0	0	1
"ecquis"	1	0	0	0	0
"ecquid"	1	0	0	0	0
"eccus"	0	0	0	0	1
"ecce"	0	1	0	0	1
"ebur"	0	1	0	0	0
"duro"	0	1	0	0	0
"duriter"	0	1	0	0	0
"duplico"	0	0	0	1	0
"duo"	1	0	0	0	1
"dum2"	4	0	0	0	1
"dulcitas"	1	0	0	0	0
"dudum"	0	1	0	0	0
"ductor"	1	0	0	0	0
"ducto"	0	1	0	0	0
"duco"	1	1	0	1	0
"dubius"	1	0	0	0	1
"dubito"	4	0	0	0	1
"dryo"	0	0	0	1	0
"dono"	1	0	0	0	0
"donec"	1	0	0	0	0
"domutio"	0	0	0	0	1
"domus"	3	6	0	0	0
"domuitio"	1	0	0	0	0
"domo"	0	1	0	0	1
"dominor"	1	0	0	0	0
"dolor"	3	0	0	0	2
"doleo"	1	0	0	0	1
"do"	11	4	0	0	12
"diuito"	1	0	0	0	0
"diuitiae"	1	2	0	0	0
"diuidus"	1	0	0	0	0
"diuido"	1	0	0	0	0
"diuidia"	2	0	0	0	0
"diuexo"	0	0	0	0	1
"diuersus"	0	0	0	0	1
"diu"	2	1	0	0	1
"disturbo2"	1	0	0	0	0
"distraho"	0	0	0	0	1
"distinguo"	0	0	0	0	1
"dissipo"	1	1	0	0	0
"dissentio"	0	0	0	0	1
"dispendo"	0	0	0	0	1
"dispar"	1	0	0	0	0
"disicio"	1	1	0	0	0
"disertim"	1	0	0	0	0
"discorditas"	0	0	0	0	1
"discordia"	1	0	0	0	0
"discidium"	2	0	0	0	0
"discerpo"	1	0	0	0	0
"direpente"	0	1	0	0	0
"diligenter"	1	0	0	0	0
"dignus"	0	0	0	0	1
"dignosco"	1	0	0	0	0
"dignor"	2	0	0	0	0
"digno"	0	0	0	0	2
"dignitas"	1	0	0	0	0
"differo"	1	1	0	0	0
"dies"	1	1	0	0	2
"dictum"	3	2	0	0	2
"dictio"	0	0	0	0	3
"dico?"	1	0	0	0	0
"dico2"	9	5	0	1	6
"diana"	0	1	0	0	0
"deus"	3	4	1	1	3
"detraho"	0	0	0	0	1
"deterior"	1	0	0	0	0
"desubito"	1	0	0	1	0
"despondeo"	0	0	0	0	1
"despicio"	0	1	0	0	0
"desisto"	1	0	0	0	0
"desidero"	0	0	0	0	1
"desiderium"	0	0	0	0	1
"desertum"	1	0	0	0	0
"desero2"	2	0	0	0	0
"derepente"	1	1	0	0	0
"depono"	1	0	0	0	0
"depello"	0	0	0	0	1
"denudo"	0	0	0	0	1
"demum"	2	0	0	0	0
"demo"	1	0	0	0	0
"dementia"	1	0	0	0	0
"delphicus"	0	1	0	0	0
"delitor"	1	0	0	0	0
"deligo3"	0	1	0	0	0
"delibuo"	0	0	0	0	1
"delecto"	0	2	0	0	0
"deiugo"	0	0	0	0	1
"deinde"	2	0	0	0	0
"deformo?"	0	1	0	0	0
"deformo1"	1	0	0	0	0
"deflagro"	0	1	0	0	0
"defio"	1	0	0	0	0
"defetiscor"	0	0	0	0	1
"defero"	1	0	0	0	0
"defendo"	0	2	0	0	2
"deduco"	0	1	1	0	1
"decurro"	0	0	0	0	1
"decoro"	1	0	0	1	1
"decipio"	1	0	0	0	0
"decet"	1	0	0	0	2
"decerno"	0	0	0	0	1
"debilis"	1	0	0	0	0
"de"	1	3	0	0	6
"dano"	0	0	0	0	1
"damno"	1	0	0	0	0
"custos"	0	1	0	0	0
"custodio"	0	0	0	0	1
"custodia"	0	0	0	1	0
"curuus"	1	0	0	0	0
"cursus"	2	0	0	0	0
"currus"	1	1	0	0	1
"curro"	1	0	0	0	0
"curo"	1	2	0	0	0
"cura"	4	0	0	0	2
"cur"	3	0	0	0	1
"cupio"	0	3	0	0	1
"cupienter"	1	1	0	0	0
"cupidus"	0	1	0	0	0
"cupido"	0	2	0	0	0
"cupiditas"	0	0	0	0	1
"cunctus"	4	0	0	0	0
"cunctor"	0	1	0	0	0
"cum3"	17	8	0	2	11
"cum2"	6	3	0	2	4
"cuias"	1	0	0	0	0
"cruor"	2	0	0	0	0
"crudelitas"	1	0	0	0	0
"cruciatus"	1	2	0	0	1
"crispus"	0	0	0	0	1
"crispa"	0	1	0	0	0
"crinitus"	0	1	0	0	0
"crinis"	1	0	0	0	1
"crepitus"	1	0	0	0	1
"crepero"	0	0	0	0	1
"creper"	2	0	0	0	0
"creo"	0	0	0	0	1
"credo"	4	2	0	0	1
"crebro2"	0	0	0	0	1
"cratera"	0	0	0	1	0
"corusco"	0	0	0	0	1
"corpus"	4	6	0	1	6
"corporo"	0	1	0	0	0
"corona"	2	1	0	0	0
"cornifeo"	0	0	0	0	1
"cor"	2	2	0	0	3
"copula"	1	0	0	0	0
"cops"	0	0	0	0	1
"copia"	1	0	0	0	2
"conuiso"	1	0	0	0	0
"contuo"	0	0	0	0	1
"contundo"	2	0	0	0	0
"contumelia"	0	0	0	0	2
"contueor"	0	0	0	0	1
"contremo"	0	0	0	0	1
"contra2"	1	1	0	0	1
"contra1"	3	0	0	1	0
"contorqueo"	0	0	0	0	1
"contingo1"	0	1	0	0	0
"contineo"	0	1	0	0	1
"contendo"	2	0	0	1	1
"contemplor"	0	1	0	0	0
"contemplo"	1	1	0	1	0
"contego"	2	0	0	0	0
"contamino"	1	0	0	0	0
"consuesco"	0	0	0	0	1
"consterno1"	0	0	0	0	2
"conspiro1"	1	0	0	0	0
"conspicio"	2	0	0	0	1
"conspectus1"	1	0	0	0	1
"consisto"	1	1	0	0	0
"consimilis"	1	0	0	0	0
"consilium"	4	2	0	0	3
"considero"	1	0	0	0	0
"conseruo"	0	0	0	0	1
"consentio"	0	1	0	0	0
"consanguineus2"	0	0	0	0	1
"conqueror"	0	0	0	0	1
"conor"	1	2	0	0	3
"coniux"	2	0	0	0	2
"coniungo"	1	0	0	0	0
"coniugium"	1	0	0	0	0
"coniectura"	1	0	0	0	3
"congruo"	1	0	0	0	0
"congredior"	1	0	0	0	0
"conglomo"	0	1	0	0	0
"conglomero"	0	0	0	0	1
"congenero"	1	0	0	0	0
"confirmo"	1	0	0	0	0
"confio"	0	0	0	0	1
"confingo"	1	0	0	0	1
"configo"	1	0	0	0	0
"confido"	1	0	0	0	0
"confidentia"	1	1	0	1	3
"conficio"	1	1	0	0	2
"confero"	1	2	0	0	1
"conesto"	1	0	0	0	0
"conduplico"	0	0	0	0	1
"conditio"	0	1	0	0	0
"concutio"	1	0	0	0	0
"concurso"	1	0	0	0	0
"concubium"	0	1	0	0	0
"concorditas"	0	0	0	0	1
"concoquo"	1	0	0	0	0
"concipio"	1	0	0	0	1
"concieo"	2	0	0	0	1
"concerto1"	0	0	0	0	1
"concedo1"	1	1	0	0	0
"comprimo"	2	0	0	0	0
"compos"	0	0	0	1	0
"compors"	1	0	0	0	0
"compono"	1	0	0	0	0
"complexus"	0	0	0	0	1
"comperio"	1	0	0	0	0
"compendo"	0	0	0	0	1
"comparo2"	4	0	0	0	0
"compages"	0	0	0	0	1
"commoueo"	1	0	0	0	0
"committo"	0	0	0	0	1
"commisero"	1	0	0	0	0
"commiseresco"	0	1	0	0	0
"commisceo"	0	1	0	0	0
"comminus"	0	1	0	0	0
"comes"	1	0	0	0	0
"color"	0	0	0	0	1
"collum"	1	0	0	0	0
"colloco"	1	0	1	0	0
"collis"	2	0	0	0	1
"coinquino"	1	0	0	0	0
"cohibeo"	0	0	0	0	1
"cogo"	1	0	0	0	0
"cognosco"	2	0	0	0	1
"cogito"	0	1	0	0	0
"coerceo"	0	0	0	0	2
"coepio"	0	1	0	0	1
"clupeus"	0	1	0	0	0
"clupeo"	0	0	0	0	1
"clueo"	1	0	0	0	1
"clipeus"	0	1	0	0	0
"claudo1"	0	0	0	0	1
"classis"	3	0	1	0	1
"clarus"	4	0	0	1	0
"clareo"	0	1	0	0	0
"clamor"	1	1	0	0	1
"clamo"	1	0	0	0	0
"clames"	0	0	0	0	1
"clam1"	3	0	0	0	1
"clades"	2	0	0	0	2
"ciuitas"	0	0	0	0	2
"ciuis"	2	2	0	0	1
"citro"	0	0	0	0	1
"citatus"	3	0	0	0	0
"circumuenio"	0	1	0	0	0
"circumsto"	0	1	0	0	0
"circumspicio"	0	0	0	0	1
"circum2"	1	1	0	0	0
"circum1"	0	0	0	0	1
"circulus"	2	0	0	0	0
"cinis"	1	0	0	0	0
"cetro"	0	1	0	1	1
"cetera1"	0	1	0	0	0
"cesso"	1	1	0	0	1
"ceruix"	0	0	0	0	2
"certus"	2	0	0	0	1
"certo1"	0	0	0	0	1
"certisco"	0	0	0	0	1
"cerno"	4	3	0	0	4
"cereo"	0	1	0	0	0
"censeo"	1	0	0	0	1
"celsus"	3	0	0	1	0
"celer"	1	0	0	1	0
"celebro"	1	0	0	0	0
"celebresco"	1	0	0	0	0
"celeber"	1	0	0	0	0
"cedo2"	2	0	0	0	1
"cedo1"	0	0	0	0	1
"cauus2"	0	1	0	0	0
"cautim"	1	0	0	0	0
"caute"	1	0	0	0	0
"causor"	1	0	0	0	1
"causa"	2	1	0	0	1
"caueo"	2	0	0	1	0
"castus2"	1	0	0	0	0
"castra2"	1	2	0	0	0
"castra"	0	1	0	0	0
"castitas"	1	0	0	0	0
"cardo"	0	1	0	0	0
"caput"	3	1	0	0	2
"capto"	1	0	0	0	0
"captiuus1"	1	0	0	0	0
"caprigenus"	1	0	0	0	0
"capra"	0	1	0	0	0
"capio2"	5	1	0	0	2
"capesso"	0	0	0	0	1
"cantus"	1	0	1	0	0
"cano"	0	0	0	0	1
"canis"	0	0	0	0	1
"candor"	0	0	0	1	1
"candidus"	1	1	0	0	0
"candeo"	0	1	0	0	0
"candens"	0	1	0	0	0
"campus1"	1	0	0	0	0
"camilla"	0	0	0	0	1
"caluor"	1	0	0	0	3
"calumen"	0	0	0	0	1
"calleo"	1	0	0	0	1
"caligo1"	0	1	0	0	0
"caeruleus"	0	1	0	0	0
"caelum1"	3	8	0	0	2
"caelo"	0	1	0	0	0
"caelestis"	0	0	0	0	1
"caelestia"	1	0	0	0	0
"caelestes"	1	0	0	0	0
"caeles1"	2	2	0	0	1
"caedo"	0	1	0	0	0
"caecus"	1	0	0	0	0
"cado"	0	1	1	0	1
"cachinno2"	1	0	0	0	0
"brutus"	0	0	0	0	1
"breuis"	0	0	0	0	1
"bosco"	0	0	0	0	1
"bonus"	5	4	0	0	2
"bonum"	1	0	0	0	0
"blandus"	0	1	0	0	1
"bisulcus"	0	0	0	0	1
"bipes2"	0	0	0	1	0
"biga"	0	1	0	0	0
"beto"	0	0	0	0	1
"benigne"	1	0	0	0	0
"beneuolentia"	1	0	0	0	0
"beneficium"	3	0	0	0	0
"benefactum"	0	0	0	0	1
"bene"	1	3	0	0	3
"bellum"	3	1	0	0	0
"bellua"	0	1	0	0	1
"bello"	0	0	0	0	1
"baetus"	0	0	0	0	1
"babium"	0	1	0	0	0
"axis"	1	0	0	0	1
"auxilium"	2	3	0	0	1
"auus"	0	1	0	0	0
"autumo"	1	0	0	0	3
"autumnus1"	0	0	0	0	1
"autem"	3	1	1	0	1
"aut"	17	12	0	0	12
"ausus"	0	0	0	0	1
"auspicium"	0	0	0	0	1
"ausculto"	0	0	0	0	1
"aurum"	1	1	0	0	0
"aureus2"	1	0	0	0	0
"auratus"	0	1	0	0	0
"auis"	0	0	0	0	1
"auide"	0	1	0	0	0
"augustus"	1	0	0	0	0
"auguro"	0	0	0	0	1
"augurium"	1	0	0	0	1
"augur"	4	0	0	0	0
"augifico"	0	1	0	0	0
"augeo"	1	0	0	0	1
"aufero"	3	1	0	0	0
"auerrunco"	0	0	0	0	2
"aueo"	0	1	0	0	0
"aueho"	1	0	0	0	0
"audio"	3	1	0	0	2
"audeo"	2	0	0	0	0
"audax"	1	0	0	0	0
"aucupus"	1	0	0	0	0
"aucupo"	2	1	0	0	0
"aucepus"	0	0	0	0	1
"attrectatus"	0	0	0	0	1
"attractio"	1	0	0	0	0
"attolo"	0	0	0	0	2
"attingo"	2	0	0	0	1
"attento"	0	0	0	0	1
"attendo"	2	0	0	0	1
"atrox"	0	0	0	0	1
"atrocitas"	1	0	0	0	0
"atratus"	1	0	0	0	0
"atque1"	20	16	0	1	14
"ater"	1	1	0	0	0
"at2"	2	1	0	0	0
"astus"	2	0	0	0	1
"asto"	0	4	0	1	1
"assum1"	4	2	0	0	1
"assisto"	1	0	0	0	0
"assentio"	1	0	0	0	0
"aspicio"	2	2	0	0	1
"aspernabilis"	1	0	0	0	0
"asper"	0	1	0	0	1
"aspectus"	1	1	0	0	2
"arx"	2	2	0	0	0
"artus1"	0	0	0	0	1
"ars"	1	0	0	0	1
"arripio"	1	0	0	0	1
"armus"	1	0	0	0	0
"armiger2"	1	0	0	0	0
"armentum"	0	0	0	0	1
"armatus2"	3	1	0	0	0
"armati"	0	1	0	0	0
"armamentum"	0	0	0	0	1
"arma"	6	2	0	0	2
"aries"	0	1	0	0	0
"aridus"	0	0	0	0	1
"argutus"	0	0	0	1	0
"argutor"	0	1	0	0	0
"argus"	0	1	0	0	0
"arguo"	1	0	0	0	0
"argio"	0	1	0	0	0
"arena"	0	0	0	0	1
"arduus"	0	1	0	0	1
"ardor"	2	0	0	0	0
"ardens"	0	1	0	0	0
"arcus"	0	1	0	0	0
"arcitenens2"	1	0	0	0	0
"arbustum"	0	0	0	1	0
"arbor"	0	1	0	0	0
"arbitror"	3	0	0	0	0
"ara"	2	2	0	0	1
"aquilo"	1	0	0	0	0
"aqua"	0	0	0	1	0
"apud"	5	0	0	0	0
"aptus"	1	0	0	0	1
"approbo"	0	0	0	0	1
"apporto"	1	0	0	0	1
"applico"	1	1	0	0	1
"appeto"	1	0	0	0	1
"appello1"	0	1	0	0	1
"aperte"	0	0	0	0	1
"anxitudo"	2	0	0	0	1
"anuus"	0	1	0	0	0
"antista"	1	0	0	0	0
"antiquus"	3	3	0	0	2
"ante2"	0	1	0	0	1
"annuus"	1	0	0	0	0
"annus"	1	1	0	0	1
"animus"	13	6	0	1	12
"animo"	0	0	0	0	1
"animatus"	2	1	0	0	0
"animal"	0	0	0	0	1
"animaduerto"	1	0	0	0	0
"anima"	5	1	0	0	1
"angustitas"	1	0	0	0	0
"anguis"	0	0	0	1	0
"anguinus"	0	0	0	0	1
"anfractus1"	1	0	0	0	0
"ancillo"	1	0	0	0	0
"an"	4	1	0	2	1
"amplus"	0	0	0	0	1
"amplo"	0	0	0	0	1
"ampliter"	1	0	0	0	0
"amplifico"	0	0	0	0	1
"ample"	1	0	0	0	0
"amor"	1	2	0	0	1
"amolior"	1	0	0	0	2
"amnis"	2	0	0	3	0
"amitto"	3	0	0	0	0
"amidium"	0	1	0	0	0
"amicus1"	3	1	0	0	2
"amiciter"	0	0	0	0	1
"amicio"	0	0	0	1	0
"amentia"	1	0	0	0	1
"amburo"	1	0	0	0	0
"ambo2"	0	1	0	0	0
"amans1"	1	0	0	0	0
"am"	1	0	0	0	0
"aluus"	1	0	0	0	0
"alumnus1"	0	0	0	0	1
"alueus"	0	0	0	0	1
"altus"	4	3	0	1	0
"altum"	1	3	0	0	2
"altisonus"	0	2	0	0	0
"alterco"	0	0	0	0	1
"alter"	2	2	0	0	0
"alte"	1	0	0	1	0
"altar"	0	0	0	0	1
"alo"	1	0	0	0	1
"alloquor"	1	0	0	0	0
"alligo2"	0	0	0	0	1
"alius"	3	3	0	1	0
"aliquis"	2	1	0	0	0
"alienus2"	2	0	0	0	2
"algus"	1	0	0	0	0
"alacer"	1	0	0	0	0
"aio"	1	0	0	0	1
"agrestis2"	0	0	0	0	2
"ago"	4	6	0	0	6
"agnus"	1	0	0	0	0
"agito"	1	0	0	1	0
"aggredior"	1	0	0	0	1
"aggrauesco"	0	0	0	0	1
"ager"	3	0	0	0	0
"age"	2	0	0	0	1
"affor"	2	0	0	0	0
"affligo"	0	0	0	0	1
"affinitas"	1	0	0	0	0
"affinis1"	1	0	0	0	1
"affectus1"	1	0	0	0	0
"aeternus"	0	0	0	0	1
"aetas"	1	1	0	0	8
"aestus"	1	0	0	1	3
"aestuosus"	0	0	0	0	1
"aes"	1	2	0	0	0
"aerumnosus"	1	0	0	0	0
"aerumna"	1	1	0	0	2
"aequus"	1	3	0	0	1
"aequor"	1	0	0	0	0
"aequiter"	0	0	0	0	1
"aequipero"	0	0	0	0	1
"aeque"	0	1	1	0	1
"aequalis1"	0	0	0	0	2
"aegritudo"	0	0	0	0	2
"aegre"	0	1	0	0	2
"aeger2"	0	1	0	0	0
"aedes"	0	1	0	0	0
"aeax"	0	1	0	0	0
"aeaeus"	0	0	0	0	1
"aduersus3"	1	1	0	0	0
"aduersus1"	2	0	0	0	1
"aduersarius1"	0	1	0	0	0
"aduentus"	0	0	0	0	1
"aduento"	0	1	0	0	0
"aduenio"	1	0	0	1	2
"aduena"	1	0	0	0	1
"admisceo"	1	0	0	0	0
"adiuuto"	1	0	0	0	0
"adiuuo"	1	0	0	0	1
"adiutrix"	1	0	0	0	0
"adiuto"	0	0	0	0	2
"adiungo"	0	0	0	0	2
"adiugo"	0	0	0	0	2
"aditus"	1	0	0	0	0
"adhuc"	1	0	0	0	0
"adhibeo"	1	0	0	0	0
"adeo2"	1	1	0	0	1
"adeo1"	2	0	0	0	0
"addo"	3	0	0	0	1
"addecet"	0	1	0	0	0
"ad2"	10	3	1	1	7
"ad1"	1	0	0	0	0
"acuus"	1	0	0	0	0
"actutum"	1	0	0	1	1
"actus1"	0	0	0	0	1
"acritudo"	1	0	0	0	0
"acritas"	1	0	0	0	0
"acrimonia"	1	0	0	1	0
"acricrepo"	1	0	0	0	0
"acies"	1	0	0	0	1
"acherusium"	0	1	0	0	0
"acheron"	0	1	0	0	0
"aceruus"	1	0	0	0	0
"acerbus"	2	0	0	0	0
"acer2"	2	0	0	1	0
"acedo"	0	0	0	0	1
"accumbo"	1	0	0	0	0
"accommodo"	1	0	0	0	0
"accolo2"	1	0	0	0	0
"accipio"	0	1	0	0	3
"accido1"	1	1	0	0	0
"accendo"	0	0	1	0	0
"accedo1"	0	1	0	0	0
"ac1"	8	0	0	0	4
"abundans2"	1	0	0	0	0
"absumo"	1	0	0	0	0
"absum1"	0	1	0	0	0
"abstrudo"	1	0	0	0	0
"abstraho"	1	0	0	0	0
"absoluo"	0	0	0	0	1
"abscedo1"	0	0	0	0	1
"abnuo"	0	1	0	0	0
"abluo"	0	0	0	0	1
"abiugo"	0	0	0	0	1
"abigo"	0	1	0	0	0
"abies"	2	1	0	0	0
"abiegnus"	0	1	0	0	0
"abicio"	1	0	0	0	0
"abduco"	1	0	0	0	0
"abdico1"	0	0	0	0	1
"ab"	13	9	0	0	10
"Uulcanus"	0	0	0	1	0
"Uulcania"	1	0	0	0	0
"Mulciber"	1	0	0	0	0
"Mots d'origine grecs"	156	73	4	22	79
"Liber"	0	0	0	0	2
"Iuppiter"	3	4	0	0	0
"Ilius"	1	0	0	0	0
"FAUX"	1	0	0	0	0
"Danai"	2	0	0	0	0
"Danae"	0	0	0	0	2
"Cadmogena"	1	0	0	0	0
"Aetna"	0	0	0	0	1
